year,month,day,hour,minute,second,HR,HR_conf,Activity,walk_stp,run_stp,scd,r,Unnamed: 8
2025,2,24,17,16,36,880,75,0,0,0,3,0,
2025,2,24,17,16,37,890,75,0,0,0,3,0,
2025,2,24,17,16,37,900,75,0,0,0,3,0,
2025,2,24,17,16,38,910,50,0,0,0,3,0,
2025,2,24,17,16,39,920,50,0,0,0,3,0,
2025,2,24,17,16,40,920,50,0,0,0,3,0,
2025,2,24,17,16,41,920,50,0,0,0,3,0,
2025,2,24,17,16,42,930,75,0,0,0,3,0,
2025,2,24,17,16,43,930,75,0,0,0,3,0,
2025,2,24,17,16,44,930,100,0,0,0,3,0,
2025,2,24,17,16,45,930,100,0,0,0,3,0,
2025,2,24,17,16,46,930,100,0,0,0,3,0,
2025,2,24,17,16,47,930,100,0,0,0,3,0,
2025,2,24,17,16,48,930,100,0,0,0,3,0,
2025,2,24,17,16,49,920,100,0,0,0,3,0,
2025,2,24,17,16,50,910,100,0,0,0,3,0,
2025,2,24,17,16,51,900,100,0,0,0,3,0,
2025,2,24,17,16,52,890,100,0,0,0,3,0,
2025,2,24,17,16,53,880,100,0,0,0,3,0,
2025,2,24,17,16,54,870,100,0,0,0,3,0,
2025,2,24,17,16,55,850,100,0,0,0,3,0,
2025,2,24,17,16,56,840,100,0,0,0,3,0,
2025,2,24,17,16,57,820,100,0,0,0,3,0,
2025,2,24,17,16,58,790,100,0,0,0,3,0,
2025,2,24,17,16,59,770,100,0,0,0,3,0,
2025,2,24,17,17,0,760,100,0,0,0,3,0,
2025,2,24,17,17,1,760,100,0,0,0,3,0,
2025,2,24,17,17,2,750,100,0,0,0,3,0,
2025,2,24,17,17,3,730,100,0,0,0,3,0,
2025,2,24,17,17,4,720,100,0,0,0,3,0,
2025,2,24,17,17,5,700,100,0,0,0,3,0,
2025,2,24,17,17,6,680,100,0,0,0,3,0,
2025,2,24,17,17,7,650,100,0,0,0,3,0,
2025,2,24,17,17,8,630,100,0,0,0,3,1180,
2025,2,24,17,17,9,610,100,0,0,0,3,1171,
2025,2,24,17,17,10,600,100,0,0,0,3,1156,
2025,2,24,17,17,11,590,100,0,0,0,3,1147,
2025,2,24,17,17,12,590,0,0,0,0,3,1117,
2025,2,24,17,17,13,590,0,0,0,0,3,1114,
2025,2,24,17,17,14,590,75,0,0,0,3,1116,
