year,month,day,hour,minute,second,HR,HR_conf,Activity,walk_stp,run_stp,scd,r,Unnamed: 8
2025,2,21,9,28,40,870,100,0,0,0,3,0,
2025,2,21,9,28,41,880,100,0,0,0,3,0,
2025,2,21,9,28,42,890,100,0,0,0,3,0,
2025,2,21,9,28,43,890,100,0,0,0,3,0,
2025,2,21,9,28,44,900,100,0,0,0,3,0,
2025,2,21,9,28,45,900,100,0,0,0,3,0,
2025,2,21,9,28,46,900,100,0,0,0,3,0,
2025,2,21,9,28,47,900,100,0,0,0,3,584,
2025,2,21,9,28,48,900,100,0,0,0,3,584,
2025,2,21,9,28,49,900,100,0,0,0,3,747,
2025,2,21,9,28,50,890,100,0,0,0,3,877,
2025,2,21,9,28,51,890,100,0,0,0,3,955,
2025,2,21,9,28,52,890,100,0,0,0,3,1008,
2025,2,21,9,28,53,890,100,0,0,0,3,1045,
2025,2,21,9,28,54,880,100,0,0,0,3,1073,
2025,2,21,9,28,55,880,100,0,0,0,3,1094,
2025,2,21,9,28,56,880,100,0,0,0,3,1111,
2025,2,21,9,28,57,890,100,0,0,0,3,1120,
2025,2,21,9,28,58,890,100,0,0,0,3,1129,
2025,2,21,9,28,59,890,100,0,0,0,3,1136,
2025,2,21,9,29,0,890,100,0,0,0,3,1143,
2025,2,21,9,29,1,890,100,0,0,0,3,1149,
2025,2,21,9,29,2,890,100,0,0,0,3,1155,
2025,2,21,9,29,3,890,100,0,0,0,3,1162,
2025,2,21,9,29,4,890,100,0,0,0,3,1170,
2025,2,21,9,29,5,890,100,0,0,0,3,1180,
2025,2,21,9,29,6,890,100,0,0,0,3,1189,
2025,2,21,9,29,7,890,100,0,0,0,3,1198,
2025,2,21,9,29,8,890,100,0,0,0,3,1207,
2025,2,21,9,29,9,880,100,0,0,0,3,1215,
2025,2,21,9,29,10,880,100,0,0,0,3,1222,
2025,2,21,9,29,11,880,100,0,0,0,3,1228,
2025,2,21,9,29,12,880,100,0,0,0,3,1233,
2025,2,21,9,29,13,880,100,0,0,0,3,1237,
2025,2,21,9,29,14,880,100,0,0,0,3,1240,
2025,2,21,9,29,15,890,100,0,0,0,3,1243,
2025,2,21,9,29,16,890,100,0,0,0,3,1246,
2025,2,21,9,29,17,890,100,0,0,0,3,1248,
2025,2,21,9,29,18,880,100,0,0,0,3,1250,
2025,2,21,9,29,19,880,100,0,0,0,3,1253,
2025,2,21,9,29,20,880,100,0,0,0,3,1256,
2025,2,21,9,29,21,880,100,0,0,0,3,1259,
2025,2,21,9,29,22,880,100,0,0,0,3,1262,
2025,2,21,9,29,23,870,100,0,0,0,3,1265,
2025,2,21,9,29,24,870,100,0,0,0,3,1268,
2025,2,21,9,29,25,870,100,0,0,0,3,1271,
2025,2,21,9,29,26,870,100,0,0,0,3,1274,
2025,2,21,9,29,27,860,100,0,0,0,3,1276,
2025,2,21,9,29,28,860,100,0,0,0,3,1279,
2025,2,21,9,29,29,870,100,0,0,0,3,1281,
2025,2,21,9,29,30,870,100,0,0,0,3,1282,
2025,2,21,9,29,31,870,100,0,0,0,3,1284,
2025,2,21,9,29,32,870,100,0,0,0,3,1286,
2025,2,21,9,29,33,870,100,0,0,0,3,1287,
2025,2,21,9,29,34,880,100,0,0,0,3,1289,
2025,2,21,9,29,35,880,100,0,0,0,3,1292,
2025,2,21,9,29,36,880,100,0,0,0,3,1298,
