year,month,day,hour,minute,second,HR,HR_conf,Activity,walk_stp,run_stp,scd,r,Acc_X,Acc_Y,Acc_Z,Unnamed: 11
2025,2,25,11,0,27,790,50,0,0,0,3,0,-547,-113,820,
2025,2,25,11,0,29,800,100,0,0,0,3,0,-554,-121,814,
2025,2,25,11,0,29,820,100,0,0,0,3,0,-554,-108,809,
2025,2,25,11,0,30,840,100,0,0,0,3,0,-556,-105,807,
2025,2,25,11,0,31,850,100,0,0,0,3,0,-550,-107,813,
2025,2,25,11,0,32,870,100,0,0,0,3,0,-544,-109,810,
2025,2,25,11,0,33,880,100,0,0,0,3,0,-556,-113,807,
2025,2,25,11,0,34,900,100,0,0,0,3,0,-560,-109,806,
2025,2,25,11,0,35,910,100,0,0,0,3,586,-560,-106,816,
2025,2,25,11,0,36,920,100,0,0,0,3,589,-552,-105,811,
2025,2,25,11,0,37,920,100,0,0,0,3,589,-549,-115,821,
2025,2,25,11,0,38,920,100,0,0,0,3,589,-593,-118,783,
2025,2,25,11,0,39,910,100,0,0,0,3,589,-737,-229,670,
2025,2,25,11,0,40,910,75,0,0,0,3,589,-559,-241,691,
2025,2,25,11,0,41,910,75,0,0,0,3,589,-755,-313,520,
2025,2,25,11,0,42,910,75,0,0,0,3,589,-896,-202,417,
2025,2,25,11,0,43,910,75,0,0,0,3,589,-783,-210,367,
2025,2,25,11,0,44,900,75,0,0,0,3,589,-900,-179,379,
2025,2,25,11,0,45,900,75,0,0,0,3,589,-904,-256,376,
2025,2,25,11,0,46,900,75,0,0,0,3,589,-983,-177,374,
2025,2,25,11,0,47,890,75,0,0,0,3,589,-943,-223,358,
2025,2,25,11,0,48,890,75,0,0,0,3,589,-934,-198,372,
2025,2,25,11,0,49,900,75,0,0,0,3,589,-930,-229,330,
2025,2,25,11,0,50,900,75,0,0,0,3,589,-888,-202,375,
2025,2,25,11,0,51,910,75,0,0,0,3,589,-810,-328,342,
2025,2,25,11,0,52,920,75,0,0,0,3,589,-866,-306,503,
2025,2,25,11,0,53,930,75,0,0,0,3,589,-804,-364,445,
2025,2,25,11,0,54,930,25,1,0,0,3,589,-894,-387,411,
2025,2,25,11,0,55,940,75,0,0,0,3,589,-870,-340,338,
2025,2,25,11,0,56,940,75,0,0,0,3,589,-923,-302,368,
2025,2,25,11,0,57,940,75,0,0,0,3,589,-896,-285,387,
2025,2,25,11,0,58,940,75,0,0,0,3,589,-892,-257,345,
2025,2,25,11,0,59,940,75,0,0,0,3,589,-888,-252,396,
2025,2,25,11,1,0,950,75,0,0,0,3,589,-843,-245,371,
2025,2,25,11,1,1,950,75,0,0,0,3,589,-912,-288,366,
