year,month,day,hour,minute,second,HR,HR_conf,Activity,walk_stp,run_stp,scd,r,Acc_X,Acc_Y,Acc_Z,Unnamed: 11
2025,2,25,11,15,30,1260,0,3,7,82,3,560,326,-25,519,
2025,2,25,11,15,31,1260,0,3,7,85,3,560,-89,-1132,1308,
2025,2,25,11,15,32,1260,0,3,7,87,3,560,30,-106,495,
2025,2,25,11,15,33,1260,0,3,7,90,3,560,-406,-511,995,
2025,2,25,11,15,34,1270,0,3,7,92,3,560,156,-213,654,
2025,2,25,11,15,35,1280,0,3,7,95,3,560,78,-302,859,
2025,2,25,11,15,36,1280,25,3,7,97,3,560,118,-341,796,
2025,2,25,11,15,37,1290,25,3,7,100,3,560,-306,-371,839,
2025,2,25,11,15,38,1300,25,3,7,102,3,560,136,-347,768,
2025,2,25,11,15,39,1310,25,3,7,105,3,560,214,-266,652,
2025,2,25,11,15,40,1310,25,3,7,107,3,560,-287,-762,917,
2025,2,25,11,15,41,1320,25,3,7,110,3,560,-294,158,237,
2025,2,25,11,15,42,1330,25,3,7,112,3,560,-230,-1267,1545,
2025,2,25,11,15,43,1330,25,3,7,115,3,560,156,-110,424,
2025,2,25,11,15,44,1340,25,3,7,117,3,560,-311,-1412,1623,
2025,2,25,11,15,45,1360,25,3,7,120,3,560,-231,48,270,
2025,2,25,11,15,46,1370,25,3,7,122,3,560,-233,-1056,1564,
2025,2,25,11,15,47,1380,25,3,7,125,3,560,133,-59,543,
2025,2,25,11,15,48,1390,25,3,7,127,3,560,168,-840,976,
2025,2,25,11,15,49,1390,25,3,7,130,3,560,67,-194,620,
2025,2,25,11,15,50,1390,25,3,7,132,3,560,-584,-331,713,
2025,2,25,11,15,51,1400,25,3,7,134,3,560,137,-534,892,
2025,2,25,11,15,52,1400,25,3,7,137,3,560,35,-217,598,
2025,2,25,11,15,53,1400,25,3,7,139,3,560,-101,-1032,1276,
2025,2,25,11,15,54,1400,25,3,7,142,3,560,-221,-143,473,
2025,2,25,11,15,55,1410,50,3,7,144,3,560,-324,-969,1448,
2025,2,25,11,15,56,1410,50,3,7,147,3,560,141,-30,476,
2025,2,25,11,15,57,1410,50,3,7,149,3,560,32,-872,1358,
2025,2,25,11,15,58,1420,50,3,7,152,3,560,-6,15,532,
2025,2,25,11,15,59,1420,50,3,7,154,3,560,-261,-864,1293,
2025,2,25,11,16,0,1430,50,3,7,156,3,560,285,-173,538,
2025,2,25,11,16,1,1440,50,3,7,159,3,560,0,-820,1252,
2025,2,25,11,16,2,1450,50,3,7,161,3,560,97,-390,854,
2025,2,25,11,16,3,1450,50,3,7,164,3,560,-424,-292,798,
2025,2,25,11,16,4,1460,50,3,7,166,3,560,-56,-662,1129,
2025,2,25,11,16,5,1460,50,3,7,169,3,560,180,-187,685,
2025,2,25,11,16,6,1470,50,3,7,171,3,560,-174,-1085,1330,
2025,2,25,11,16,7,1470,75,3,7,174,3,560,-370,200,241,
2025,2,25,11,16,8,1470,75,3,7,176,3,560,37,-780,1291,
2025,2,25,11,16,9,1470,75,3,7,179,3,560,152,-86,669,
2025,2,25,11,16,10,65535,255,255,-1,-1,255,65535,-1,-1,-1,
2025,2,25,11,16,11,0,0,0,0,0,0,0,0,0,0,
2025,2,25,11,16,12,0,0,0,0,0,0,0,0,0,0,
2025,2,25,11,16,13,0,0,0,0,0,0,0,0,0,0,
2025,2,25,11,16,14,0,0,0,0,0,0,0,0,0,0,
2025,2,25,11,16,15,0,0,0,0,0,0,0,0,0,0,
2025,2,25,11,16,16,0,0,0,0,0,0,0,0,0,0,
2025,2,25,11,16,17,0,0,0,0,0,0,0,0,0,0,
2025,2,25,11,16,18,0,0,0,0,0,0,0,0,0,0,
2025,2,25,11,16,19,0,0,0,0,0,0,0,0,0,0,
2025,2,25,11,16,20,0,0,0,0,0,0,0,0,0,0,
