year,month,day,hour,minute,second,HR,HR_conf,Activity,walk_stp,run_stp,scd,r,Acc_X,Acc_Y,Acc_Z,Unnamed: 11
2025,2,27,17,48,16,770,100,0,0,0,3,1364,-18,1,-1009,
2025,2,27,17,48,17,770,100,0,0,0,3,1370,-20,2,-1008,
2025,2,27,17,48,18,770,100,0,0,0,3,1376,-20,3,-1012,
2025,2,27,17,48,19,770,100,0,0,0,3,1380,-20,2,-1009,
2025,2,27,17,48,20,760,100,0,0,0,3,1383,-16,4,-1009,
2025,2,27,17,48,21,760,100,0,0,0,3,1386,-15,-2,-1005,
2025,2,27,17,48,22,750,100,0,0,0,3,1389,-19,0,-1008,
2025,2,27,17,48,23,750,100,0,0,0,3,1392,-18,0,-1005,
2025,2,27,17,48,24,750,100,0,0,0,3,1390,-20,2,-1006,
2025,2,27,17,48,25,760,100,0,0,0,3,1388,-22,0,-1005,
2025,2,27,17,48,26,760,100,0,0,0,3,1387,-19,2,-1005,
2025,2,27,17,48,27,760,100,0,0,0,3,1390,-24,0,-1011,
2025,2,27,17,48,28,760,100,0,0,0,3,1392,-15,2,-1011,
2025,2,27,17,48,29,750,100,0,0,0,3,1395,-17,0,-1008,
2025,2,27,17,48,30,750,100,0,0,0,3,1398,-18,0,-1006,
2025,2,27,17,48,31,740,100,0,0,0,3,1402,-17,0,-1009,
2025,2,27,17,48,32,750,100,0,0,0,3,1407,-19,0,-1007,
2025,2,27,17,48,33,750,100,0,0,0,3,1412,-21,0,-1007,
2025,2,27,17,48,34,760,100,0,0,0,3,1417,-19,0,-1005,
2025,2,27,17,48,35,760,100,0,0,0,3,1421,-13,2,-1008,
2025,2,27,17,48,36,760,100,0,0,0,3,1424,-16,4,-1007,
2025,2,27,17,48,37,760,100,0,0,0,3,1428,-19,1,-1009,
2025,2,27,17,48,38,760,100,0,0,0,3,1431,-21,1,-1005,
2025,2,27,17,48,39,760,100,0,0,0,3,1434,-21,3,-1009,
2025,2,27,17,48,40,760,100,0,0,0,3,1436,-17,0,-1006,
2025,2,27,17,48,41,760,100,0,0,0,3,1438,-19,0,-1009,
2025,2,27,17,48,42,760,100,0,0,0,3,1440,-19,2,-1006,
2025,2,27,17,48,43,770,100,0,0,0,3,1442,-17,0,-1010,
2025,2,27,17,48,44,770,100,0,0,0,3,1443,-14,0,-1010,
2025,2,27,17,48,45,770,100,0,0,0,3,1445,-15,0,-1008,
2025,2,27,17,48,46,770,100,0,0,0,3,1446,-15,0,-1006,
2025,2,27,17,48,47,770,100,0,0,0,3,1447,-18,3,-1005,
2025,2,27,17,48,48,770,100,0,0,0,3,1446,-20,0,-1007,
2025,2,27,17,48,49,770,100,0,0,0,3,1443,-21,0,-1006,
2025,2,27,17,48,50,770,100,0,0,0,3,1441,-21,3,-1008,
