Timestamp,HR,HR_conf,Activity,walk_stp,run_stp,scd,r,Acc_X,Acc_Y,Acc_Z,
2025-04-14 12:46:17.325,600,0,1,0,0,2,0,242,-854,475,
2025-04-14 12:46:18.325,600,0,1,0,0,2,0,253,-851,492,
2025-04-14 12:46:19.323,600,0,0,0,0,2,0,242,-865,486,
2025-04-14 12:46:20.324,590,0,0,0,0,3,0,254,-843,496,
2025-04-14 12:46:21.322,600,0,0,0,0,3,0,250,-854,487,
2025-04-14 12:46:22.322,600,0,0,0,0,3,0,253,-843,480,
2025-04-14 12:46:23.322,650,0,0,0,0,3,0,258,-840,499,
2025-04-14 12:46:24.322,710,0,0,0,0,3,0,254,-835,504,
2025-04-14 12:46:25.321,1000,50,0,0,0,3,0,258,-834,501,
2025-04-14 12:46:26.320,1000,50,0,0,0,3,0,255,-837,510,
2025-04-14 12:46:27.320,990,50,0,0,0,3,0,263,-844,490,
2025-04-14 12:46:28.320,940,50,0,0,0,3,0,246,-828,494,
2025-04-14 12:46:29.319,900,50,0,0,0,3,0,263,-836,500,
2025-04-14 12:46:30.318,1010,100,0,0,0,3,0,260,-838,500,
2025-04-14 12:46:31.318,1090,100,0,0,0,3,0,280,-832,517,
2025-04-14 12:46:32.315,1080,100,0,0,0,3,0,294,-821,521,
2025-04-14 12:46:33.318,1060,100,0,0,0,3,0,270,-844,484,
2025-04-14 12:46:34.313,1060,100,0,0,0,3,0,314,-813,492,
2025-04-14 12:46:35.315,1050,100,0,0,0,3,0,449,-669,607,
2025-04-14 12:46:36.315,1050,100,0,0,0,3,0,442,-699,561,
2025-04-14 12:46:37.314,1040,100,0,0,0,3,0,432,-759,508,
2025-04-14 12:46:38.314,1040,100,0,0,0,3,584,422,-775,487,
2025-04-14 12:46:39.314,1030,100,0,0,0,3,584,467,-659,582,
2025-04-14 12:46:40.313,1030,100,0,0,0,3,584,462,-577,686,
2025-04-14 12:46:41.312,1020,100,0,0,0,3,584,506,-568,657,
2025-04-14 12:46:42.311,1010,100,0,0,0,3,584,473,-645,604,
2025-04-14 12:46:43.312,990,100,0,0,0,3,584,484,-707,522,
2025-04-14 12:46:44.311,980,100,0,0,0,3,584,534,-729,521,
