Timestamp,PPG1,PPG2,PPG3,PPG4,PPG5,PPG6
2025-02-26 17:15:39.013,130929,29866,32527,10,299621,328038
2025-02-26 17:15:40.213,130928,29874,32522,0,299637,328079
2025-02-26 17:15:41.332,130924,29878,32528,0,299659,328048
2025-02-26 17:15:41.342,130935,29884,32534,8,299701,328148
2025-02-26 17:15:41.384,130955,29886,32545,0,299689,328198
2025-02-26 17:15:41.556,130969,29904,32549,0,299683,328185
2025-02-26 17:15:41.558,130974,29894,32558,8,299638,328201
2025-02-26 17:15:41.560,130942,29892,32551,0,299562,328118
2025-02-26 17:15:41.562,130934,29903,32557,2,299560,328060
2025-02-26 17:15:41.563,130934,29893,32547,4,299462,328045
2025-02-26 17:15:41.565,130909,29883,32537,1,299477,328009
2025-02-26 17:15:41.567,130933,29900,32549,5,299513,327997
2025-02-26 17:15:41.569,130927,29907,32551,2,299491,328063
2025-02-26 17:15:41.571,130921,29912,32563,2,299483,328052
2025-02-26 17:15:41.572,130940,29921,32557,0,299483,328052
2025-02-26 17:15:41.574,130917,29924,32563,3,299474,328048
2025-02-26 17:15:41.576,130937,29917,32557,0,299445,328047
2025-02-26 17:15:41.578,130911,29916,32543,5,299450,327975
2025-02-26 17:15:41.580,130897,29916,32551,3,299416,327985
2025-02-26 17:15:41.581,130930,29921,32544,12,299465,328016
2025-02-26 17:15:41.583,130944,29934,32576,0,299464,328047
2025-02-26 17:15:41.585,130969,29947,32591,0,299541,328106
2025-02-26 17:15:41.588,130998,29970,32615,5,299593,328132
2025-02-26 17:15:41.591,131010,30000,32642,0,299670,328193
2025-02-26 17:15:41.595,131045,30000,32661,0,299698,328298
2025-02-26 17:15:41.704,131041,30008,32665,11,299760,328337
2025-02-26 17:15:41.707,131041,30008,32665,11,299760,328337
2025-02-26 17:15:41.709,131067,30033,32677,8,299849,328420
2025-02-26 17:15:41.712,131073,30020,32674,7,299790,328489
2025-02-26 17:15:41.714,131035,30020,32668,3,299779,328433
2025-02-26 17:15:41.716,131021,30024,32680,8,299687,328363
2025-02-26 17:15:41.719,131013,30003,32671,10,299613,328347
2025-02-26 17:15:41.721,130973,30007,32651,10,299584,328255
2025-02-26 17:15:41.723,130964,29989,32643,2,299536,328138
2025-02-26 17:15:41.726,130943,29981,32625,2,299499,328142
2025-02-26 17:15:41.729,130919,29974,32598,4,299449,328103
2025-02-26 17:15:41.731,130898,29958,32593,0,299399,328013
2025-02-26 17:15:41.734,130904,29944,32565,5,299341,327973
2025-02-26 17:15:41.736,130872,29928,32564,0,299250,327890
2025-02-26 17:15:41.740,130878,29927,32548,4,299236,327811
2025-02-26 17:15:41.744,130868,29940,32559,0,299259,327839
2025-02-26 17:15:41.748,130872,29930,32549,4,299342,327863
2025-02-26 17:15:41.880,130880,29930,32548,7,299327,327855
2025-02-26 17:15:41.882,130867,29910,32525,4,299317,327863
2025-02-26 17:15:41.884,130867,29902,32529,0,299313,327882
2025-02-26 17:15:41.886,130852,29903,32514,0,299301,327912
2025-02-26 17:15:41.890,130879,29902,32516,9,299338,327912
2025-02-26 17:15:41.892,130890,29929,32540,1,299394,327917
2025-02-26 17:15:41.894,130950,29945,32576,9,299507,328049
2025-02-26 17:15:41.897,131019,29979,32603,11,299636,328156
2025-02-26 17:15:41.900,131039,30005,32631,5,299732,328293
2025-02-26 17:15:41.902,131045,30010,32658,1,299749,328364
2025-02-26 17:15:41.905,131036,30006,32662,8,299759,328380
2025-02-26 17:15:41.907,131035,30004,32652,3,299714,328434
2025-02-26 17:15:41.909,130973,29993,32652,9,299631,328404
2025-02-26 17:15:41.911,130963,29993,32644,7,299574,328296
2025-02-26 17:15:41.913,130951,29979,32629,10,299544,328278
2025-02-26 17:15:41.915,130966,29999,32642,8,299502,328187
2025-02-26 17:15:41.917,130970,30008,32647,0,299465,328239
2025-02-26 17:15:41.920,130950,29998,32644,0,299428,328207
2025-02-26 17:15:41.922,130951,29996,32637,5,299390,328148
2025-02-26 17:15:41.924,130919,30003,32630,0,299381,328132
2025-02-26 17:15:42.050,130916,29973,32617,5,299383,328125
2025-02-26 17:15:42.053,130925,30000,32617,5,299448,328137
2025-02-26 17:15:42.056,130946,29995,32614,0,299489,328174
2025-02-26 17:15:42.058,130949,30002,32633,4,299544,328266
2025-02-26 17:15:42.062,130974,30004,32652,5,299587,328259
2025-02-26 17:15:42.064,130976,30014,32652,0,299537,328276
2025-02-26 17:15:42.067,130986,30017,32638,4,299542,328296
2025-02-26 17:15:42.070,130988,30034,32651,0,299590,328348
2025-02-26 17:15:42.072,130997,30010,32648,5,299629,328354
2025-02-26 17:15:42.076,131014,30029,32650,8,299652,328406
2025-02-26 17:15:42.078,131013,30030,32668,15,299644,328429
2025-02-26 17:15:42.081,131021,30021,32665,6,299623,328448
2025-02-26 17:15:42.085,131023,30032,32676,0,299596,328405
2025-02-26 17:15:42.088,131021,30030,32679,9,299589,328402
2025-02-26 17:15:42.093,131021,30037,32686,0,299581,328414
2025-02-26 17:15:42.097,130995,30026,32672,0,299528,328342
2025-02-26 17:15:42.268,130991,30029,32672,0,299573,328349
2025-02-26 17:15:42.270,130996,30037,32678,9,299538,328363
2025-02-26 17:15:42.272,131000,30026,32686,0,299479,328354
2025-02-26 17:15:42.275,131020,30036,32680,0,299468,328345
2025-02-26 17:15:42.278,131013,30029,32697,1,299381,328287
2025-02-26 17:15:42.280,130986,30035,32689,0,299363,328207
2025-02-26 17:15:42.282,131000,30035,32683,3,299404,328239
2025-02-26 17:15:42.285,130991,30045,32688,3,299348,328247
2025-02-26 17:15:42.287,130986,30042,32686,7,299395,328271
2025-02-26 17:15:42.289,131006,30058,32695,2,299430,328255
2025-02-26 17:15:42.293,131009,30051,32706,0,299415,328321
2025-02-26 17:15:42.295,131004,30054,32709,0,299405,328346
2025-02-26 17:15:42.299,130994,30055,32718,0,299381,328314
2025-02-26 17:15:42.302,130983,30054,32697,5,299336,328235
2025-02-26 17:15:42.304,130945,30043,32683,3,299282,328190
2025-02-26 17:15:42.307,130904,30022,32663,6,299225,328078
2025-02-26 17:15:42.310,130905,30013,32647,2,299186,328025
2025-02-26 17:15:42.312,130875,30020,32628,6,299174,327977
2025-02-26 17:15:42.316,130861,30008,32625,9,299155,327993
2025-02-26 17:15:42.419,130862,30001,32612,13,299147,327922
2025-02-26 17:15:42.421,130878,29999,32607,0,299099,327954
2025-02-26 17:15:42.423,130859,29993,32597,14,299097,327908
2025-02-26 17:15:42.426,130831,29980,32579,5,299066,327920
2025-02-26 17:15:42.428,130828,29974,32574,8,299048,327898
2025-02-26 17:15:42.431,130823,29954,32541,5,299035,327842
2025-02-26 17:15:42.433,130820,29934,32529,4,299008,327814
2025-02-26 17:15:42.435,130827,29935,32529,10,299012,327830
2025-02-26 17:15:42.437,130820,29948,32539,4,299048,327814
2025-02-26 17:15:42.440,130845,29954,32549,4,299061,327893
2025-02-26 17:15:42.443,130845,29954,32549,4,299061,327893
2025-02-26 17:15:42.446,130874,29951,32572,10,299103,327952
2025-02-26 17:15:42.448,130887,29964,32586,3,299139,327962
2025-02-26 17:15:42.450,130913,29976,32597,6,299176,328023
2025-02-26 17:15:42.452,130909,29980,32606,2,299165,328058
2025-02-26 17:15:42.455,130895,29969,32604,2,299116,328019
2025-02-26 17:15:42.457,130904,29977,32603,3,299099,327992
2025-02-26 17:15:42.460,130890,29965,32597,5,299073,328033
2025-02-26 17:15:42.463,130870,29960,32606,17,298993,327994
2025-02-26 17:15:42.466,130861,29964,32600,0,298995,327933
2025-02-26 17:15:42.468,130866,29962,32603,2,299008,327956
2025-02-26 17:15:42.608,130862,29956,32600,7,298981,327893
2025-02-26 17:15:42.610,130851,29964,32601,5,298956,327913
2025-02-26 17:15:42.612,130860,29953,32598,6,298927,327915
2025-02-26 17:15:42.615,130860,29953,32599,5,298927,327873
2025-02-26 17:15:42.616,130832,29952,32589,4,298912,327872
2025-02-26 17:15:42.618,130826,29940,32595,6,298900,327878
2025-02-26 17:15:42.620,130841,29947,32586,8,298891,327859
2025-02-26 17:15:42.622,130831,29946,32583,0,298871,327815
2025-02-26 17:15:42.624,130823,29935,32564,8,298837,327810
2025-02-26 17:15:42.626,130829,29946,32568,4,298787,327786
2025-02-26 17:15:42.628,130807,29931,32564,3,298746,327759
2025-02-26 17:15:42.630,130817,29920,32533,0,298639,327717
2025-02-26 17:15:42.632,130784,29887,32512,1,298578,327594
2025-02-26 17:15:42.634,130765,29877,32489,3,298547,327508
2025-02-26 17:15:42.636,130780,29886,32480,2,298509,327447
2025-02-26 17:15:42.639,130778,29881,32478,0,298580,327507
2025-02-26 17:15:42.643,130792,29877,32481,4,298584,327484
2025-02-26 17:15:42.646,130798,29862,32484,1,298603,327544
2025-02-26 17:15:42.649,130815,29876,32483,1,298607,327542
2025-02-26 17:15:42.652,130820,29877,32509,2,298657,327557
2025-02-26 17:15:42.654,130839,29904,32515,2,298691,327641
2025-02-26 17:15:42.656,130860,29900,32544,1,298677,327672
2025-02-26 17:15:42.776,130866,29912,32545,0,298653,327695
2025-02-26 17:15:42.778,130852,29914,32545,1,298561,327692
2025-02-26 17:15:42.781,130830,29915,32535,9,298470,327558
2025-02-26 17:15:42.783,130808,29897,32533,7,298386,327501
2025-02-26 17:15:42.788,130766,29901,32545,1,298327,327418
2025-02-26 17:15:42.801,130786,29908,32556,0,298382,327408
2025-02-26 17:15:42.806,130787,29938,32575,1,298434,327450
2025-02-26 17:15:42.810,130794,29943,32594,4,298436,327498
2025-02-26 17:15:42.814,130797,29970,32595,5,298467,327517
2025-02-26 17:15:42.817,130834,29976,32615,12,298556,327613
2025-02-26 17:15:42.820,130857,29994,32631,7,298629,327645
2025-02-26 17:15:42.825,130857,29990,32621,8,298721,327715
2025-02-26 17:15:43.457,130872,30010,32638,16,298794,327759
2025-02-26 17:15:43.460,130868,30022,32646,0,298869,327930
2025-02-26 17:15:43.464,130872,30019,32661,0,298938,327973
2025-02-26 17:15:43.467,130869,30021,32655,0,299016,327990
2025-02-26 17:15:43.472,130853,30003,32643,0,299022,328066
2025-02-26 17:15:43.475,130874,30014,32639,12,299130,328089
2025-02-26 17:15:43.478,130867,30004,32624,13,299155,328146
2025-02-26 17:15:43.482,130864,29986,32601,9,299173,328195
2025-02-26 17:15:43.486,130864,29968,32584,4,299171,328167
2025-02-26 17:15:43.492,130879,29946,32565,9,299248,328201
2025-02-26 17:15:43.498,130876,29957,32566,1,299283,328220
2025-02-26 17:15:43.784,130915,29974,32593,0,299368,328307
2025-02-26 17:15:43.793,130919,29991,32607,5,299507,328402
2025-02-26 17:15:43.797,130934,30004,32619,0,299579,328506
2025-02-26 17:15:43.803,130940,30035,32624,0,299588,328588
2025-02-26 17:15:43.809,130937,30023,32631,17,299666,328647
2025-02-26 17:15:43.813,130922,30030,32639,2,299657,328680
2025-02-26 17:15:43.816,130932,30027,32632,0,299692,328653
2025-02-26 17:15:43.819,130925,30051,32642,5,299711,328665
2025-02-26 17:15:43.824,130946,30062,32642,12,299732,328745
2025-02-26 17:15:43.828,130965,30083,32656,0,299863,328806
2025-02-26 17:15:44.477,130993,30092,32695,8,299920,328916
2025-02-26 17:15:44.482,131016,30110,32711,0,299913,328970
2025-02-26 17:15:44.485,131024,30109,32711,4,299941,329038
2025-02-26 17:15:44.488,131004,30112,32727,11,299915,329049
2025-02-26 17:15:44.492,131022,30101,32728,0,299987,329074
2025-02-26 17:15:44.495,131004,30103,32736,15,299964,329054
2025-02-26 17:15:44.498,131006,30096,32731,4,299896,329004
2025-02-26 17:15:44.501,130998,30084,32739,2,299853,329011
2025-02-26 17:15:44.504,130987,30086,32739,18,299867,328984
2025-02-26 17:15:44.507,131012,30088,32746,0,299948,328983
2025-02-26 17:15:44.509,131027,30103,32763,6,299930,329018
2025-02-26 17:15:44.512,131036,30103,32769,4,299938,329067
2025-02-26 17:15:44.514,131041,30107,32779,8,299961,329039
2025-02-26 17:15:44.517,131039,30124,32800,3,300001,329073
2025-02-26 17:15:44.519,131058,30124,32815,0,300003,329079
2025-02-26 17:15:44.522,131076,30138,32827,0,300029,329101
2025-02-26 17:15:44.524,131067,30147,32831,3,300039,329129
2025-02-26 17:15:44.670,131091,30146,32848,4,300029,329166
2025-02-26 17:15:44.673,131097,30154,32840,7,300060,329177
2025-02-26 17:15:44.676,131096,30157,32841,2,300084,329211
2025-02-26 17:15:44.678,131097,30157,32845,5,300092,329211
2025-02-26 17:15:44.680,131092,30137,32836,3,300046,329220
2025-02-26 17:15:44.682,131082,30134,32825,7,300058,329193
2025-02-26 17:15:44.685,131095,30121,32807,11,300053,329190
2025-02-26 17:15:44.687,131111,30126,32800,2,300076,329228
2025-02-26 17:15:44.691,131139,30107,32798,6,300111,329224
2025-02-26 17:15:44.696,131150,30125,32799,10,300152,329265
2025-02-26 17:15:44.699,131188,30127,32795,0,300250,329365
2025-02-26 17:15:44.701,131200,30128,32798,0,300261,329415
