0 SpO2 Coeff  0 0 0 0  FFD7FBDD  0AB61FE
Ver: 0 33 12 0
rd algo size: 1 33 
rd algo size: 1 33 
rd algo size: 1 33 
rd algo size: 1 33 
sens+algo 
1.2 Status: 0
1.5 Status: 0
1.6 Status: 0
1.7 Status: 0
1.8 Status: 0
map leds to slots 0
map HR to slots/PDs 0
map SpO2 to slots/PDs 0
1.14 status: 0
1.31 part id afe 0 25
1.32 who accel 0 1b
ppg1,ppg2,ppg3,ppg4,x,y,z,hr,hr_conf,spo2,spo2_conf,spo2_lo,spo2_unrel,scd,
167009,16396,429520,438428,-19,-248,979,700,0,0,0,0,0,3,
167113,16416,429619,438646,-19,-248,977,700,0,0,0,0,0,3,
167284,16435,429796,438975,-19,-247,978,700,0,0,0,0,0,3,
167441,16441,429891,439184,-21,-248,978,700,0,0,0,0,0,3,
167418,16437,429763,439146,-19,-247,978,700,0,0,0,0,0,3,
167461,16439,429763,439236,-21,-248,980,700,0,0,0,0,0,3,
167528,16446,429785,439432,-20,-247,978,690,0,0,0,0,0,3,
167670,16462,429926,439699,-22,-247,978,690,0,0,0,0,0,3,
167830,16477,430045,439944,-21,-249,980,690,0,0,0,0,0,3,
167993,16491,430168,440199,-21,-248,979,690,0,0,0,0,0,3,
168186,16504,430326,440453,-19,-248,979,690,0,0,0,0,0,3,
168334,16509,430383,440647,-18,-248,979,690,0,0,0,0,0,3,
168485,16527,430490,440858,-22,-249,979,690,0,0,0,0,0,3,
168662,16533,430597,441068,-20,-247,977,690,0,0,0,0,0,3,
168773,16545,430626,441209,-18,-247,979,690,0,0,0,0,0,3,
168722,16527,430290,440864,-19,-248,978,690,0,0,0,0,0,3,
168072,16424,429262,439390,-17,-247,979,690,0,0,0,0,0,3,
167257,16305,428626,438329,-17,-248,978,690,0,0,0,0,0,3,
166877,16277,428329,437953,-19,-248,979,690,0,0,0,0,0,3,
166710,16288,428239,437913,-20,-248,979,690,0,0,0,0,0,3,
166698,16292,428261,437973,-20,-249,978,690,0,0,0,0,0,3,
166701,16308,428274,438077,-20,-248,979,690,0,0,0,0,0,3,
166767,16336,428317,438308,-21,-248,977,690,0,0,0,0,0,3,
166877,16352,428345,438497,-20,-248,979,690,0,0,0,0,0,3,
166888,16359,428288,438518,-18,-248,977,690,0,0,0,0,0,3,
166927,16364,428285,438655,-20,-247,978,690,0,0,0,0,0,3,
167051,16374,428406,438847,-20,-247,978,690,0,0,0,0,0,3,
167186,16390,428559,439152,-20,-247,978,690,0,0,0,0,0,3,
167359,16405,428678,439415,-20,-247,977,690,0,0,0,0,0,3,
167499,16417,428784,439637,-19,-248,976,690,0,0,0,0,0,3,
167656,16432,428913,439878,-19,-247,978,690,0,0,0,0,0,3,
167813,16449,428999,440092,-21,-248,979,690,0,0,0,0,0,3,
167934,16458,429046,440262,-20,-248,978,690,100,0,0,0,0,3,
168067,16471,429111,440455,-17,-247,977,690,100,0,0,0,0,3,
168200,16488,429171,440628,-17,-247,979,690,100,0,0,0,0,3,
168281,16493,429110,440642,-18,-249,977,690,100,0,0,0,0,3,
167907,16418,428312,439581,-20,-248,979,690,100,0,0,0,0,3,
166907,16277,427280,438077,-18,-247,979,690,100,0,0,0,0,3,
166280,16221,426783,437446,-19,-248,979,690,100,0,0,0,0,3,
166048,16218,426646,437312,-20,-247,981,690,100,0,0,0,0,3,
165926,16207,426550,437278,-18,-247,979,690,100,0,0,0,0,3,
165782,16207,426422,437228,-19,-247,978,690,100,0,0,0,0,3,
165830,16230,426487,437473,-20,-248,978,690,100,0,0,0,0,3,
165977,16256,426638,437768,-19,-247,979,690,100,0,0,0,0,3,
165998,16259,426582,437851,-19,-247,980,690,100,0,0,0,0,3,
166049,16265,426609,437960,-20,-247,979,690,100,0,0,0,0,3,
166172,16277,426732,438168,-19,-248,979,690,100,0,0,0,0,3,
166286,16291,426852,438428,-19,-248,979,690,100,0,0,0,0,3,
166373,16305,426906,438632,-22,-248,978,690,100,0,0,0,0,3,
166468,16318,426957,438830,-21,-248,978,690,100,0,0,0,0,3,
166612,16333,427092,439058,-18,-248,979,690,100,0,0,0,0,3,
166688,16346,427100,439222,-20,-248,979,690,100,0,0,0,0,3,
166753,16356,427110,439369,-23,-248,978,690,100,0,0,0,0,3,
166864,16373,427138,439563,-17,-247,980,690,100,0,0,0,0,3,
166940,16385,427149,439697,-19,-247,978,690,100,0,0,0,0,3,
167022,16399,427192,439885,-21,-248,979,690,100,0,0,0,0,3,
166996,16396,426900,439611,-21,-248,978,680,100,0,0,0,0,3,
166307,16286,425826,438130,-20,-248,979,680,100,0,0,0,0,3,
165142,16151,424662,436613,-20,-247,979,680,100,0,0,0,0,3,
164534,16122,424093,436022,-20,-248,980,680,100,0,0,0,0,3,
164337,16123,423903,435939,-20,-248,977,680,100,0,0,0,0,3,
164197,16126,423722,435890,-24,-248,978,680,100,0,0,0,0,3,
