0 SpO2 Coeff  0 0 0 0  FFD7FBDD  0AB61FE
Wr report period 25 0
Ver: 0 33 12 0
rd algo size: 1 33 
rd algo size: 1 33 
rd algo size: 1 33 
rd algo size: 1 33 
sens+algo 
1.2 Status: 0
1.5 Status: 0
1.6 Status: 0
1.7 Status: 0
1.8 Status: 0
map leds to slots 0
map HR to slots/PDs 0
map SpO2 to slots/PDs 0
1.14 status: 0
1.31 part id afe 0 25
1.32 who accel 0 1b
167302,14901,432446,433984,-255,-309,934,700,0,0,0,0,0,2,
163074,14747,431313,432905,-255,-309,934,700,0,0,0,0,0,2,
165308,14750,431796,435545,-255,-309,934,700,0,0,0,0,0,2,
166341,14713,432191,437335,-255,-309,934,690,0,0,0,0,0,3,
159371,13942,427262,430319,-255,-309,934,750,100,0,0,0,0,3,
158253,13532,426469,430168,-252,-303,937,740,100,0,0,0,0,3,
157051,13172,425939,430247,-252,-303,937,740,100,0,0,0,0,3,
138199,10889,418793,416379,-252,-303,937,740,100,0,0,0,0,3,
128140,9608,418862,411413,-252,-303,937,760,100,0,0,0,0,3,
128707,9661,420284,412075,-252,-303,937,790,100,0,0,0,0,3,
121152,9069,415927,404350,-253,-305,937,790,100,0,0,0,0,3,
120515,9120,417476,405438,-253,-305,937,790,100,0,0,0,0,3,
126178,9698,419194,409208,-253,-305,937,800,100,0,0,0,0,3,
130530,10045,420664,412454,-253,-305,937,790,100,0,0,0,0,3,
124777,9964,420012,409973,-253,-305,937,780,100,0,0,0,0,3,
126364,10189,421571,412364,-239,-291,950,770,100,970,0,0,0,3,
129241,10507,423957,415824,-239,-291,950,760,100,970,1,0,0,3,
123967,10362,426336,416473,-239,-291,950,760,100,973,3,0,0,3,
136721,11043,426950,420573,-239,-291,950,750,100,975,12,0,0,3,
141809,11536,430022,424100,-239,-291,950,740,100,977,18,0,0,3,
139842,11382,427643,421093,-238,-293,947,730,100,978,23,0,0,3,
139216,11339,425929,419560,-238,-293,947,720,100,979,28,0,0,3,
146669,12042,426434,422883,-238,-293,947,710,100,980,35,0,0,3,
154629,12785,428524,426995,-238,-293,947,710,75,980,41,0,0,3,
145401,10648,429083,425142,-238,-293,947,710,100,980,45,0,0,3,
144654,9878,428818,424927,-206,-270,958,710,100,980,47,0,0,3,
148054,10224,429239,425641,-206,-270,958,710,100,981,50,0,0,3,
149366,10550,427265,423046,-206,-270,958,710,100,980,53,0,0,3,
146447,10477,425149,419903,-206,-270,958,710,100,980,55,0,0,3,
144368,10105,425494,420361,-206,-270,958,700,100,980,58,0,0,3,
141971,9765,424156,418792,-202,-294,952,700,75,980,61,0,0,3,
143107,9823,423965,419225,-202,-294,952,700,75,979,64,0,0,3,
144617,10061,424560,420314,-202,-294,952,690,100,979,66,0,0,3,
148357,10500,425317,422356,-202,-294,952,690,100,979,69,0,0,3,
153036,10971,426418,425066,-202,-294,952,690,100,979,72,0,0,3,
151399,11002,423708,420830,-205,-305,952,680,100,979,74,0,0,3,
145762,10111,427756,423874,-205,-305,952,680,100,979,75,0,0,3,
122410,8271,434411,422504,-205,-305,952,680,100,980,76,0,0,3,
144297,9475,450897,440730,-205,-305,952,680,100,980,77,0,0,3,
145570,11516,457834,448174,-205,-305,952,680,100,980,75,0,0,3,
150373,13742,460743,451986,-282,-389,891,690,100,980,75,0,0,3,
149395,14037,452400,441427,-282,-389,891,690,100,980,72,1,0,3,
153100,14447,450691,441906,-282,-389,891,690,100,980,68,1,0,3,
156285,14908,451466,445195,-282,-389,891,690,100,980,65,1,0,3,
159183,15638,451629,448032,-282,-389,891,690,100,980,65,1,0,3,
162795,16628,452004,450245,-260,-382,898,700,100,980,61,0,0,3,
166469,17461,451633,451315,-260,-382,898,700,100,979,60,0,0,3,
170156,18215,450312,451432,-260,-382,898,700,100,978,58,0,0,3,
172794,18723,449601,451958,-260,-382,898,690,100,977,60,0,0,3,
174376,18895,448995,452322,-260,-382,898,690,100,975,63,0,0,3,
175993,18987,448304,452609,-256,-380,908,680,100,973,65,0,0,3,
176047,19033,447209,452405,-256,-380,908,680,100,971,67,0,0,3,
176926,19270,446564,452538,-256,-380,908,670,75,969,69,0,0,3,
177499,19522,445543,452410,-256,-380,908,660,75,967,71,0,0,3,
178114,19430,443341,450537,-256,-380,908,660,75,965,73,0,0,3,
172773,18327,438270,443534,-254,-380,914,650,75,963,75,0,0,3,
170928,17790,436898,443023,-254,-380,914,650,75,961,77,0,0,3,
170939,17651,436492,443496,-254,-380,914,640,75,960,78,0,0,3,
172300,17783,437484,446053,-254,-380,914,640,75,958,80,0,0,3,
